#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1;Coruscant;Coruscant;Coruscant;;Coruscant;;;;;;;;;x
PROV2;Anaxes;;;;;;;;;;;;;x
PROV3;Alsakan;;;;;;;;;;;;;x
PROV4;Grizmallt;;;;;;;;;;;;;x
PROV5;Ixtlar;;;;;;;;;;;;;x
PROV6;Foerost;;;;;;;;;;;;;x
PROV7;Corulag;;;;;;;;;;;;;x
PROV8;Chandrila;;;;;;;;;;;;;x
PROV9;Brentaal;;;;;;;;;;;;;x
PROV10;Esseles;;;;;;;;;;;;;x
PROV11;Rhinnal;;;;;;;;;;;;;x
PROV12;Ralltiir;;;;;;;;;;;;;x
PROV13;Skako;;;;;;;;;;;;;x
PROV14;Basilisk;;;;;;;;;;;;;x
PROV15;Vultar;;;;;;;;;;;;;x
PROV16;Wukkar;;;;;;;;;;;;;x
PROV17;Aargau;;;;;;;;;;;;;x
PROV18;Tepasi;;;;;;;;;;;;;x
PROV19;Yulant;;;;;;;;;;;;;x
PROV20;Spira;;;;;;;;;;;;;x
PROV21;Ruan;;;;;;;;;;;;;x
PROV22;Salliche;;;;;;;;;;;;;x
PROV23;Stassia;;;;;;;;;;;;;x
PROV24;Metellos;;;;;;;;;;;;;x
PROV25;Norkronia;;;;;;;;;;;;;x
PROV26;Alland;;;;;;;;;;;;;x
PROV27;Worru'du;;;;;;;;;;;;;x
PROV28;Galand;;;;;;;;;;;;;x
PROV29;Fresia;;;;;;;;;;;;;x
PROV30;Cal-Seti;;;;;;;;;;;;;x
PROV31;Aradia;;;;;;;;;;;;;x
PROV32;Tamban;;;;;;;;;;;;;x
PROV33;Galantos;;;;;;;;;;;;;x
PROV34;N'Zoth;;;;;;;;;;;;;x
PROV35;J't'p'tan;;;;;;;;;;;;;x
PROV36;Pollillus;;;;;;;;;;;;;x
PROV37;Kokash;;;;;;;;;;;;;x
PROV38;Tanjay;;;;;;;;;;;;;x
PROV39;Jerrilek;;;;;;;;;;;;;x
PROV40;Kuar;;;;;;;;;;;;;x
PROV41;Iope;;;;;;;;;;;;;x
PROV42;Empress Teta;;;;;;;;;;;;;x
PROV43;Symbia;;;;;;;;;;;;;x
