From;To;Type;Through;-1;-1;-1;-1;Comment
2056;2056;portage;1;-1;-1;-1;-1;It will stop working if you remove this
0021;0024;major_river;;-1;-1;-1;-1;Bogo Rai to Kinoss  ###Main Routes Start
0024;0031;major_river;;-1;-1;-1;-1;Kinoss to Avidich
0028;0031;major_river;;-1;-1;-1;-1;Thearterra to Avidich
0031;0027;major_river;;-1;-1;-1;-1;Avidich to Ool
0031;0034;major_river;;-1;-1;-1;-1;Avidich to Csilla
0034;0059;major_river;;-1;-1;-1;-1;Csilla to Cormit
0059;0064;major_river;;-1;-1;-1;-1;Cormit to Celwis
0027;0030;major_river;;-1;-1;-1;-1;Ool to Shihon
0030;0026;major_river;;-1;-1;-1;-1;Shihon to Oyokal
0046;0033;major_river;;-1;-1;-1;-1;Chaf to Rhigar
0033;0034;major_river;;-1;-1;-1;-1;Rhigar to Csilla
0033;0044;major_river;;-1;-1;-1;-1;Rhigar to Csaus
0044;0050;major_river;;-1;-1;-1;-1;Csaus to Copero
0050;0052;major_river;;-1;-1;-1;-1;Copero to Savarchi
0052;0041;major_river;;-1;-1;-1;-1;Savarchi to Cioral
0041;0034;major_river;;-1;-1;-1;-1;Cioral to Csilla
0053;0055;major_river;;-1;-1;-1;-1;Schesa to Noris
0055;0062;major_river;;-1;-1;-1;-1;Noris to Sharb
0062;0058;major_river;;-1;-1;-1;-1;Sharb to Ornfra
0058;0047;major_river;;-1;-1;-1;-1;Ornfra to Naporar
0040;0047;major_river;;-1;-1;-1;-1;Cam'co to Naporar
0047;0036;major_river;;-1;-1;-1;-1;Naporar to Sposia
0036;0034;major_river;;-1;-1;-1;-1;Sposia to Csilla
0053;0072;major_river;;-1;-1;-1;-1;Schesa to Pesfavri
0072;0101;major_river;;-1;-1;-1;-1;Pesfavri to The Redoubt
0059;0105;major_river;;-1;-1;-1;-1;Cormit to Utegetu Nebula
0064;0079;major_river;;-1;-1;-1;-1;Celwis to Vagar Praxut
0105;0112;major_river;;-1;-1;-1;-1;Utegetu Nebula to Murgo
0112;0115;major_river;;-1;-1;-1;-1;Murgo to Rago
0115;0126;major_river;;-1;-1;-1;-1;Rago to Sinton
0126;0134;major_river;;-1;-1;-1;-1;Sinton to Gilatter
0134;0141;major_river;;-1;-1;-1;-1;Gilatter to Ansion
