province;red;green;blue;x;x
1;226;63;40;Province0001;x
2;87;121;53;Province0002;x
3;150;1;79;Province0003;x
4;210;77;124;Province0004;x
5;104;114;106;Province0005;x
6;150;135;48;Province0006;x
7;176;251;15;Province0007;x
8;117;205;107;Province0008;x
9;232;172;86;Province0009;x
10;63;86;12;Province0010;x
11;122;163;18;Province0011;x
12;158;252;32;Province0012;x
13;246;75;26;Province0013;x
14;181;117;82;Province0014;x
15;95;239;106;Province0015;x
16;204;237;74;Province0016;x
17;125;27;55;Province0017;x
18;71;136;73;Province0018;x
19;127;235;19;Province0019;x
20;122;100;124;Province0020;x
21;85;64;53;Province0021;x
22;170;2;46;Province0022;x
23;75;235;48;Province0023;x
24;187;168;57;Province0024;x
25;238;60;11;Province0025;x
26;250;228;77;Province0026;x
27;93;204;35;Province0027;x
28;95;92;75;Province0028;x
29;179;62;108;Province0029;x
30;166;131;4;Province0030;x
31;160;207;22;Province0031;x
32;195;117;103;Province0032;x
33;232;73;126;Province0033;x
34;104;62;38;Province0034;x
35;251;114;2;Province0035;x
36;193;203;96;Province0036;x
37;89;128;106;Province0037;x
38;202;215;4;Province0038;x
39;226;203;114;Province0039;x
40;174;10;110;Province0040;x
41;191;157;101;Province0041;x
42;72;147;45;Province0042;x
43;238;24;96;Province0043;x
44;249;184;23;Province0044;x
45;83;115;39;Province0045;x
46;91;170;26;Province0046;x
47;219;103;42;Province0047;x
48;146;84;82;Province0048;x
49;89;43;33;Province0049;x
50;94;239;45;Province0050;x
51;251;180;37;Province0051;x
52;238;198;107;Province0052;x
53;113;56;34;Province0053;x
54;170;119;57;Province0054;x
55;165;36;52;Province0055;x
56;146;172;32;Province0056;x
57;243;191;51;Province0057;x
58;131;30;52;Province0058;x
59;69;164;41;Province0059;x
60;109;214;119;Province0060;x
61;81;194;25;Province0061;x
62;90;125;75;Province0062;x
63;207;240;7;Province0063;x
64;201;37;7;Province0064;x
65;94;94;24;Province0065;x
66;101;130;105;Province0066;x
67;97;125;80;Province0067;x
68;202;194;59;Province0068;x
69;72;9;76;Province0069;x
70;250;57;62;Province0070;x
71;253;209;95;Province0071;x
72;178;245;67;Province0072;x
73;153;35;22;Province0073;x
74;237;219;73;Province0074;x
75;180;176;7;Province0075;x
76;155;94;11;Province0076;x
77;238;197;47;Province0077;x
78;188;22;24;Province0078;x
79;154;99;124;Province0079;x
80;135;111;95;Province0080;x
81;99;102;98;Province0081;x
82;222;176;89;Province0082;x
83;213;179;58;Province0083;x
84;64;50;78;Province0084;x
85;85;192;103;Province0085;x
86;164;105;60;Province0086;x
87;103;49;105;Province0087;x
88;157;245;122;Province0088;x
89;109;42;27;Province0089;x
90;92;161;14;Province0090;x
91;140;199;26;Province0091;x
92;180;171;67;Province0092;x
93;206;170;34;Province0093;x
94;141;236;21;Province0094;x
95;155;252;67;Province0095;x
96;203;213;85;Province0096;x
97;215;247;35;Province0097;x
98;226;242;17;Province0098;x
99;194;160;117;Province0099;x
100;104;170;6;Province0100;x
101;143;228;103;Province0101;x
102;209;73;7;Province0102;x
103;176;106;89;Province0103;x
104;202;27;2;Province0104;x
105;246;193;37;Province0105;x
106;247;1;126;Province0106;x
107;211;126;69;Province0107;x
108;223;164;114;Province0108;x
109;148;220;64;Province0109;x
110;193;104;40;Province0110;x
111;207;187;70;Province0111;x
112;251;162;80;Province0112;x
113;76;102;16;Province0113;x
114;183;115;126;Province0114;x
115;137;127;123;Province0115;x
116;83;207;94;Province0116;x
117;232;199;12;Province0117;x
118;95;146;86;Province0118;x
119;119;121;33;Province0119;x
120;83;8;5;Province0120;x
121;110;239;6;Province0121;x
122;177;93;12;Province0122;x
123;64;58;87;Province0123;x
124;191;15;103;Province0124;x
125;135;228;16;Province0125;x
126;174;167;115;Province0126;x
127;198;77;51;Province0127;x
128;83;71;53;Province0128;x
129;116;173;97;Province0129;x
130;76;167;20;Province0130;x
131;90;225;37;Province0131;x
132;137;131;44;Province0132;x
133;239;151;117;Province0133;x
134;97;229;21;Province0134;x
135;90;93;3;Province0135;x
136;218;17;30;Province0136;x
137;85;189;119;Province0137;x
138;77;98;125;Province0138;x
139;179;144;108;Province0139;x
140;171;1;102;Province0140;x
141;239;4;119;Province0141;x
142;96;7;52;Province0142;x
143;140;231;102;Province0143;x
144;213;65;5;Province0144;x
145;147;164;9;Province0145;x
146;215;248;9;Province0146;x
147;200;103;42;Province0147;x
148;204;223;123;Province0148;x
149;108;240;38;Province0149;x
150;207;191;119;Province0150;x
151;166;2;59;Province0151;x
152;137;233;66;Province0152;x
153;82;12;62;Province0153;x
154;158;70;75;Province0154;x
155;242;180;84;Province0155;x
156;193;199;54;Province0156;x
157;66;32;79;Province0157;x
158;233;215;74;Province0158;x
159;169;157;15;Province0159;x
160;211;230;64;Province0160;x
161;144;200;104;Province0161;x
162;253;16;5;Province0162;x
163;124;65;19;Province0163;x
164;194;127;126;Province0164;x
165;166;112;58;Province0165;x
166;64;97;46;Province0166;x
167;239;85;68;Province0167;x
168;246;242;77;Province0168;x
169;187;187;38;Province0169;x
170;219;113;67;Province0170;x
171;217;118;42;Province0171;x
172;114;229;14;Province0172;x
173;134;94;113;Province0173;x
